image_id,image_counter,caption
n01645776_9743,3,"Green frog or toad with black and cream designs all over sitting on a surface that is brown, rust and cream."
n01645776_9743,4,A small green frog with brown markings sits on some brown leaves.
n01645776_9743,5,A frog that is crawling along some dirt on the ground.
n01664990_10648,1,A sea turtle is swimming through the blue ocean.
n01664990_10648,2,The white belly of a turtle with black spots on it's face is visible as it swims near the ocean floor.
n01664990_10648,3,A sea turtle that is swimming under the water.
n01664990_10648,4,A closeup shot of a sea turtle swimming in the sea.
n01664990_10648,5,A tan sea turtle with black spots swimming near some coral.
n01664990_13731,1,An pretty ocean turtle prepares to investigate something it sees.
n01664990_13731,2,A green sea turtle with black spotslaying on the bottom of the ocean floor.
n01664990_13731,3,A sea turtle is looking at a piece of purple coral.
n01664990_13731,4,A sea turtle that is swimming along the bottom of the ocean.
n01664990_13731,5,A sea turtle looks at a purple plant on the sea floor.
n01664990_16740,1,A large green and brown turtle floating in the water.
n01664990_16740,2,A sea turtle swims over mossy rocks in the blue water.
n01664990_16740,3,A sea turtle is gliding in the water over some rocks.
n01664990_16740,4,A sea turtle that is swimming near some rocks.
n01664990_16740,5,Big  yellow colour tortoise swimming  near the sea rocks
n01664990_18293,1,A turtle that is swimming around under water.
n01664990_18293,2,A black spotted  beige turtle with a brown shell is seen near the ocean floor.
n01664990_18293,3,A sea turtle moves along above some coral on the bottom of the sea.
n01664990_18293,4,A TORTOISE WITH ITS HEAD OUT OF ITS SHIELD AND MOVING ON THE ROCKS WITH ITS HANDS
n01664990_18293,5,A brown and white sea turtle swimming near some coral.
n01664990_19129,1,Amphibious sea creature with large shell and spotted head and legs swims in pool.
n01664990_19129,2,A tan and black spotted turtle with a dark shell swims in what looks like a pool.
n01664990_19129,3,A turtle that is swimming in the ocean.
n01664990_19129,4,A sea turtle is swimming in aqua colored water.
n01664990_19129,5,A turtle with spotted legs and head swims at the surface of some clear water.
n01664990_19923,1,A sea turtle lies near some coral on the sea floor.
n01664990_19923,2,"A sea turtle among coral, far beneath the waves."
n01664990_19923,3,A sea turtle rests up against coral blooms.
n01664990_19923,4,A sea turtle that is swimming around in a reef.
n01664990_19923,5,"A Mossy green, black, and tan Turtle swims near the ocean floor."
n01664990_65,1,A bright green sea turtle looks to its right as it sits on some green coral.
n01664990_65,2,A sea turtle is tinted green as it floats over coral.
n01664990_65,3,A sea turtle that is swimming around under water.
n01664990_65,4,A green sea turtle with balck dots sitting on some coral underwater.
n01664990_65,5,An underwater picture of a sea turtle resting on some coral.
n01664990_7133,1,A brown and black sea turtle swimming near the ocean floor.
n01664990_7133,2,A sea turtle is swimming through the ocean.
n01664990_7133,3,A sea turtle that is swimming around under water.
n01664990_7133,4,A sea turtle swims through the water over a bed of coral.
n01664990_7133,5,"Turtle with black and cream design on its head, flippers and shell swimming in a body of water with green plants on the bottom."
n01704323_10031,1,The skull of a large three honed dinosaur that a persons hand is on.
n01704323_10031,2,"A triceratops head skeleton is mounted on display, with a hand touching the beak."
n01704323_10031,3,A person puts their hand on the nose of a dinosaur sculpture.
n01704323_10031,4,A fossil of a dinosaur that is on display in a park.
n01704323_10031,5,A person touches a fossil of a dinosaur's skull.
n01704323_10239,1,An animatronic dinosaur that is set up near some bushes.
n01704323_10239,2,A large display of a fake three horned dinosaur in a wooded area.
n01704323_10239,3,A recreation of a dinosaur laying in a forest scene.
n01704323_10239,4,A model of a horned dinosaur stands with its mouth open in some dirt near thick bushes.
n01704323_10239,5,A replication of a stegosaurus i believe standing in a display surrounded by green bushes and trees behind it.
n01704323_10394,1,A sculpture of a dinosaur shows signs of wear as children look at it.
n01704323_10394,2,A replica of a three horned dinosaur skeleton that is on display in a building.
n01704323_10394,3,A brown and grey triceratops skeleton on display behind a rope.
n01704323_10394,4,Large fossils of a dinosaur with two horns on its head are displayed as a charging to the camera in a museum.
n01704323_10394,5,A triceratops that is positioned on display in a museum.
n01704323_5092,1,A large three horned dinosaur made of concrete standing on rocks.
n01704323_5092,2,A triceratops statue on display outdoors on a sunny day.
n01704323_5092,3,A large sculpture of a horned dinosaur stands on a stone surface with trees in the background.
n01704323_5092,4,A model of a triceratops that is painted grey.
n01704323_5092,5,a dinosaur with two horns on its four head and one on its nose standing on a dusty ground
n01704323_8008,1,A dinosaur skeleton stands on display near a sign.
n01704323_8008,2,Dusty old dinosaur fossils are displayed in a museum.
n01704323_8008,3,A triceratops fossil that is on display in a museum.
n01704323_8008,4,The skeleton of a dinosaur that has two horns on its head.
n01704323_8008,5,A triceratops skeleton on a pedestal is on display.
n01704323_8767,1,The bones of a stegosaurus have been put together and are on display.
n01704323_8767,2,A large horned dinosaur skeleton in a room with other dinsosaur skeletons.
n01704323_8767,3,"A triceratops skeleton on display outdoors, the bones of another skeleton tail behind it."
n01704323_8767,4,"The restored skeleton of a dinosaur, displayed in a museum."
n01704323_8767,5,Lighting illuminates a large dinosaur skeleton in a display.
n01704323_9172,1,"It is  traditionally refers to undomesticated animal species, but has come to include all plants. While the term in popular culture usually refers to animals that are untouched by factors, most scientists agree that much it is affected by people activities."
n01704323_9172,2,A model of a dinosaur head with two big horns on its head and one near the nose.
n01704323_9172,3,A statue of a triceratops standing out in the forest.
n01704323_9172,4,Bright green trees stand in the background of the head of a dinosaur sculpture.
n01704323_9172,5,This is a realistic display of a dinosaur.
n01704323_9812,1,A dinosaur skull with horns sits on a stand in a display.
n01704323_9812,2,The skull of a three horned dinosaur on a display stand.
n01704323_9812,3,"A triceratops skull is displayed behind glass, several people are looking at it."
n01704323_9812,4,A fossil of a large dinosaur that is on display in a museum.
n01704323_9812,5,A large dinosaur head replica is on display.
n01726692_18809,1,"Curled up snake that is white with orange designs outlined in black , his head is all orange with black eyes."
n01726692_18809,2,A red and tan snake coiled up on a piece of wood.
n01726692_18809,3,"A snake colored with banks of red, black and cream is curled up on a log."
n01726692_18809,4,a snake coiled on tree bark with orange white and black markings
n01726692_18809,5,"A snake that has red, white, and black stripes on it."
n01726692_21053,1,A red snake curled up in a dirt area.
n01726692_21053,2,"A red, orange and black snake looking forward while resting in some black dirt."
n01726692_21053,3,A long snake with red and black markings lies slightly curled on a patch of dirt.
n01726692_21053,4,A long bown and red snake laying in a dirt patch near grass.
n01726692_21053,5,A red snake that is crawling around in the dirt.
n01726692_30357,1,A couple of snake heads resting on a snake body.
n01726692_30357,2,Two green snakes curled up together on the surface of some water.
n01726692_30357,3,Two brown and yellow snakes are floating in the water.
n01726692_30357,4,Two snakes that are green and laying on top of each other.
n01726692_30357,5,A snake rests its head on the body of another snake.
n01726692_31558,1,A white snake holds its tongue out as it rests its head on its body.
n01726692_31558,2,A white snake that is crawling over fake grass.
n01726692_31558,3,An albino python flicking its tongue as it's coiled on some cheap green substrate.
n01726692_31558,4,A solid white snake with red eyes and a pink tongue that is out.
n01726692_31558,5,A albino snake has it's tongue out as it rests its head on itself.
n01726692_8404,1,This green snake is difficult to see in the foliage.
n01726692_8404,2,A green snake that is sitting up in a tree.
n01726692_8404,3,A green snake curls its body on the small branch of a tree.
n01726692_8404,4,A long thin green snake with white and black accents is curled up in a tree.
n01726692_8404,5,A bright green snake is curled up in foliage.
n01726692_8752,1,A bright green snake it coiled around a branch resting its head on top of a coil.
n01726692_8752,2,A green snake that is wrapped around a tree branch.
n01726692_8752,3,A bright green snake looks forward as its body is wrapped around a tree branch.
n01726692_8752,4,A large green snake with a white face curled up on a wooden branch.
n01726692_8752,5,A green snake wrapped around a tree branch.
n01726692_8975,1,Legless carnivorous reptile slithers along the ground effortlessly.
n01726692_8975,2,A large black snake that is curled up to strike.
n01726692_8975,3,A black snake that is curled up in some grass.
n01726692_8975,4,A black snake with green markings cocks its head above the ground.
n01726692_8975,5,A black snake is coiled to strike on a straw covered surface.
n01726692_9090,1,The head of a yellow snake with black spots on a rocky area.
n01726692_9090,2,A white snake with some black spots on its head.
n01726692_9090,3,A yellow snake with black markings lies on rocky ground.
n01726692_9090,4,A black and cream colored snake slithers along a rocky surface.
n01726692_9090,5,A yellow and black snake slithering on some rocks.
n01768244_10258,1,A group of orangish brown creatures lay next to each other.
n01768244_10258,2,A bunch of fossils that are all together on a rock.
n01768244_10258,3,Fossilized horseshoe crabs embedded in wood with a price sticker of $1250.
n01768244_10258,4,A large rock is flipped on its side to display several fossils embedded in it.
n01768244_10258,5,A group of animal fossils embedded into a large rock.
n01768244_11944,1,A trilobite fossil that is sitting on some fabric.
n01768244_11944,2,Small fossilized creature displayed on dark cloth surface.
n01768244_11944,3,impression of an ancient insect species found on a rock
n01768244_11944,4,"Fossil that is beige in color, looks similar to a butterfly but with bones/ribs instead of wings."
n01768244_11944,5,A single seed lays on a dark brown surface.
n01768244_6450,1,A strange black insect similar to a worm with an exoskeleton in segments is on a stone.
n01768244_6450,2,A trilobite fossil that is on top of a grey rock.
n01768244_6450,3,Unusual dark blobbed crawling species on a rock.
n01768244_6450,4,Ancient fossil of a sea creature atop a white surface
n01768244_6450,5,A fossil of an animal embedded in a gray stone.
n01768244_7012,1,a brown and white color object it is like skeleton of an animal face
n01768244_7012,2,A rock is turned upside down to show a fossil embedded in it.
n01768244_7012,3,The top of a fossilized horseshoe crab on display.
n01768244_7012,4,A large brown stone that has a fossil in it.
n01768244_7012,5,An old brown fossil is set up on display.
n01768244_7788,1,six prehistoric fossils were found on a rock and placed for display
n01768244_7788,2,Several dark fossils emerge from a light gray surface.
n01768244_7788,3,A group of fossils of animals embedded into a rock.
n01768244_7788,4,A fossil of trilobites in black contrasting the white shale background.
n01768244_7788,5,Six dark brown objects are keep on a  white round stone
n01768244_8871,1,A fossil of a trilobite that is in some rock outdoors.
n01768244_8871,2,"A fossil in rock that is egg shaped and looks like ribs going down two thirds of the body, top part is smooth except for  a piece in the middle that looks like a think neck and a triangular head."
n01768244_8871,3,rock impression of an ancient under water species
n01768244_8871,4,The shape of a horseshoe crab is embedded in rock.
n01768244_8871,5,Fossilized crustacean seen embedded in  ancient rock surface.
n01768244_9298,1,A dime leans against a rock that has a fossil embedded in it.
n01768244_9298,2,Some kind of very well preserved fossil is displayed next to a dime for a size comparison.
n01768244_9298,3,prehistoric fossils found on a rock and a coin with a mans head placed near it
n01768244_9298,4,A fossil of a bug in a rock sitting beside a dime.
n01768244_9298,5,A fossil that is sitting next to a coin on a table.
n01768244_9890,1,A hand holds a rock with a fossilized creature embedded within it.
n01768244_9890,2,A fossil of a small animal enbedded in a gray rock.
n01768244_9890,3,A weird reptile is laying in a white powdery substance.
n01768244_9890,4,A fossil that is embedded in some rocks
n01768244_9890,5,A hand holds a rock with a small fossil embedded in it.
n01770393_10195,1,A scorpion with its tail curled up is atop rich-colored soil.
n01770393_10195,2,A light tan scorpion with its tail curved over it standing on a rock.
n01770393_10195,3,An emperor scorpion with pincers ready on a sandy platform.
n01770393_10195,4,A small brown scorpion stands on a brown rock with its tail curled.
n01770393_10195,5,A scorpion sits on a rock with its tail curled up in the air.
n01770393_12152,1,A black scorpion with red pinchers crawls across a sandy surface.
n01770393_12152,2,A black scorpion with its tail curled over its back standing on the ground.
n01770393_12152,3,Red fluid seems visible beneath the translucent skin on the front arms of a scorpion walking through a sandy field.
n01770393_12152,4,A black scorpion that is crawling around on the ground.
n01770393_12152,5,A scorpion with a black body holds its stinger up as it stands on some gravel.
n01770393_14471,1,A scorpion with large pincers standing in the dirt.
n01770393_14471,2,A black scorpion that is crawling along some dirt.
n01770393_14471,3,A black scorpion with light-colored legs sits in some dirt.
n01770393_14471,4,A black and yellow scorpion sitting in black dirt.
n01770393_14471,5,A fat scorpion with fat pinchers crawls in the dirt.
n01770393_18012,1,A brown scorpion that has its tail up in the air.
n01770393_18012,2,A brown scorpion sits on a rock with its tail curled over its head.
n01770393_18012,3,A small scorpion holds its tail coiled over its body.
n01770393_18012,4,An aggressive rust-colored scorpion poised on a green rock ready to sting.
n01770393_18012,5,A brown scorpion with its tail over its back sitting on a rock.
n01770393_21218,1,A black scorpion with its tail curled on a yellow leaf.
n01770393_21218,2,A black scorpion with a thick body and claws sits on a yellow leaf.
n01770393_21218,3,A black scorpion atop a yellow leaf speckled with brown.
n01770393_21218,4,A large black scorpion crawling on a yellow leaf.
n01770393_21218,5,"A black scorpion resting on a dry, yellow leaf."
n01770393_24657,1,A small brown and black scorpion sits on top of a wooden plank.
n01770393_24657,2,A brown scorpion sitting on a wooden plank.
n01770393_24657,3,A brown scorpion stands on a wooden plank.
n01770393_24657,4,A dark scorpion is sitting on a wooden structure.
n01770393_24657,5,A scorpion with black pincers is crawling along a wooden beam.
n01770393_28281,1,A light yellow scorpion with its tail curled up sitting on rocks.
n01770393_28281,2,A light-colored scorpion stands on a stony surface with its tail curled up.
n01770393_28281,3,A yellow scorpion with its pinchers open on a concrete surface.
n01770393_28281,4,"A pale, tan scorpion stands on a concrete surface illuminated by the flash of a camera on a dark night."
n01770393_28281,5,A yellow and translucent scorpion walking across a tile floor.
n01770393_29944,1,A large black scorpion with its stinger raised moves over some gravel.
n01770393_29944,2,A large black scorpion that is crawling around on the road.
n01770393_29944,3,A black scorpion with its tail raised stands on a Sandy parking lot near a forest.
n01770393_29944,4,A black scorpion with its tail raised on a rocky surface.
n01770393_29944,5,A closeup of a black scorpion sitting on sand.
n01772222_10420,1,A large brown spider that is crawling through some sand.
n01772222_10420,2,A black spider casts its shadow on some white dirt.
n01772222_10420,3,A brown large spider shown from the side with its shadow appearing in the background
n01772222_10420,4,"A spider crawls along a stony surface, casting a shadow."
n01772222_10420,5,A brown spider is crawling over a wet surface.
n01772222_11060,1,A furry spider is sitting on a pebbly surface.
n01772222_11060,2,A large black spider with a red stripe on the top of its head.
n01772222_11060,3,A brown large spider standing on a rocky ground shown from above
n01772222_11060,4,A black spider with a strip of red on top crawls across cement with dots of color.
n01772222_11060,5,A black spider with small orange markings on its body sits on rocky ground.
n01772222_11885,1,A furry looking spider is in the center of a web.
n01772222_11885,2,A spider with a black body and white spots sits in the middle of a large web.
n01772222_11885,3,A furry black spider with white bands sits in the middle of its large web.
n01772222_11885,4,A black and white spider sits still in its web.
n01772222_11885,5,A black and white spider that is hanging in a spider web.
n01772222_12097,1,An insect with horny legs is on a green leaf.
n01772222_12097,2,A light brown spider with hairy legs sitting on a blade of green grass.
n01772222_12097,3,A green spider with brown markings blends in to a slender green leaf.
n01772222_12097,4,A light-colored spider with hairy legs moves along a green leaf.
n01772222_12097,5,A spider with spiny legs crawls along a blade of grass.
n01772222_12347,1,A large light brown spider with long thin legs and a bulbous back side sits on a leaf.
n01772222_12347,2,A closeup of large brown spider on a green leaf.
n01772222_12347,3,A large brown spider sitting on a green leaf.
n01772222_12347,4,A large brown spider crawling on a green leaf.
n01772222_12347,5,A spider with thin legs moves along on a large leaf.
n01772222_12605,1,A large brown spider on a shiny red surface.
n01772222_12605,2,A brown spider on a red floor next to a white wall
n01772222_12605,3,Close up of a brown spider on top of a glossy surface.
n01772222_12605,4,A light brown spider with a thick body looks forward.
n01772222_12605,5,Small arachnid stands on shiny surface looking scary.
n01772222_13749,1,A large brown spider with black eyes and fangs sitting in grass.
n01772222_13749,2,A large reddish brownish spider has a cluster of black eyes on top of its head.
n01772222_13749,3,A close up of a brown spider in the grass.
n01772222_13749,4,A large brown spider stands among some blades of grass and looks in front of it.
n01772222_13749,5,A brown spider that is crawling through some grass.
n01772222_16161,1,A gray and yellow jumping spider stands facing frontwards.
n01772222_16161,2,A light brown spider with black spots looks forward as it crawls over rocks.
n01772222_16161,3,Eight legged arthropod seen walking on ground usually disliked by humans.
n01772222_16161,4,A brown spider with a large pair of fangs.
n01772222_16161,5,A large arthropod with light-colored legs and body sits on a rocky surface.
n01784675_13237,1,Three centipedes with bright orange heads and legs on a black surface.
n01784675_13237,2,Three centepedes sit in a row on a black surface.
n01784675_13237,3,Three black centipedes with red legs near each other.
n01784675_13237,4,Three centipedes with short orange legs sit in a line on a black surface.
n01784675_13237,5,Three centipedes with red legs lined up in a row on a black background.
n01784675_14624,1,A bug with dozens of legs in soapy water.
n01784675_14624,2,Multi legged insect seen on surface with water.
n01784675_14624,3,A red centipede on a wet white surface.
n01784675_14624,4,A centipede curves its body as it sits on a wet surface.
n01784675_14624,5,"A centipede lays on a wet, white surface."
n01784675_15243,1,A black centipede that is crawling across a log.
n01784675_15243,2,A long brown centipede sits partially off a fence post above some green water.
n01784675_15243,3,A centipede with many legs on a wooden banister near some water.
n01784675_15243,4,A centipede is moving on a wooden guard rail beside water.
n01784675_15243,5,It always have an odd number of pairs of legs and normally have a drab coloration combining shades of brown and red.
n01784675_15784,1,A bright red centipede burrows down into some clumpy dirt.
n01784675_15784,2,A red bug is moving through the dirt outside.
n01784675_15784,3,A red centipede that is crawling through the dirt.
n01784675_15784,4,A red centipede crawling through a pile of dirt.
n01784675_15784,5,A red bug with many legs is crawling through the brown dirt.
n01784675_18607,1,A large brown and black centipede with yellow legs and antennae.
n01784675_18607,2,A brown centipede with black stripes and yellow legs sits among some twigs and rocks.
n01784675_18607,3,A centipede with orange and black stripes walking through some rocks.
n01784675_18607,4,A brown centipede with black stripes and yellow legs crawling on rocks.
n01784675_18607,5,A brown centipede with yellow legs craws across rocky ground.
n01784675_20773,1,A red millipede walking on a sandy rock.
n01784675_20773,2,A brown centipede extends its antennae as it sits on some light-colored rocks.
n01784675_20773,3,A brown centipede crawls across a rocky surface.
n01784675_20773,4,A brown centipede that is crawling around in the dirt.
n01784675_20773,5,A brown centipede standing on a tan rock.
n01784675_22328,1,A black centipede with a red head and yellow legs.
n01784675_22328,2,A large black centipede with yellow legs curves its body against a wall.
n01784675_22328,3,A centipede with a red head crawls across cement and up the side of a wall.
n01784675_22328,4,A black centipede with yellow feet is crawling on a cement surface.
n01784675_22328,5,A black centipede that has yellow legs and a red head.
n01784675_9652,1,A centipede crawling through some grass with red legs.
n01784675_9652,2,A brown catepillar with red legs set in some green grass
n01784675_9652,3,A dark brown centipede with red legs crawls through some thick grass.
n01784675_9652,4,Caterpillar with orange legs crawling on the green grass.
n01784675_9652,5,A brown bug with many red legs crawling in the grass.
n01787835_10128,1,a shell of a dead crab lying on the sand upside down
n01787835_10128,2,A horseshoe crab that is upside down on the beach.
n01787835_10128,3,A shelled sea creature lies upside down in some wet sand with its bodily organs exposed.
n01787835_10128,4,A dead sting ray has been cut open on the beach.
n01787835_10128,5,A horseshoe crab flipped on its back in wet sand.
n01787835_10392,1,A tan horseshoe crab sitting on sand in shallow water.
n01787835_10392,2,A horseshoe crab in shallow water with a sandy bottom.
n01787835_10392,3,An animal with a large brown shell and a tail sits on some shallow water.
n01787835_10392,4,A large horseshoe fish that is swimming in some shallow water.
n01787835_10392,5,A brown sting ray is sitting in shallow water.
n01787835_11338,1,A tan spiky and spiny sea creature has washed up on the Sandy Beach.
n01787835_11338,2,Small sea animal with exoskeleton seen skimming on bottom of water feature.
n01787835_11338,3,A horseshoe crab that has washed up on the beach.
n01787835_11338,4,A bony sea animal with a round body and tail sits on some gray sand.
n01787835_11338,5,A horseshoe crab sits at the sandy bottom of a sea area.
n01787835_12178,1,A horseshoe crab sitting in the sand away from water.
n01787835_12178,2,A horseshoe crab is lying on the beach after the water has receded from the sand.
n01787835_12178,3,A horseshoe fish that has washed up onto the sand.
n01787835_12178,4,A water creature with a round body and a tail sits in some sand.
n01787835_12178,5,A large crab lays ashore the beach during the day.
n01787835_12357,1,A beige stingray with spikes is nearby some underwater vegetation.
n01787835_12357,2,A tan horseshoe crab sitting in an area of sand and dead seaweed.
n01787835_12357,3,A horseshoe crab moves along a sandy path into grass.
n01787835_12357,4,A horseshoe fish that is swimming along the bottom of the ocean.
n01787835_12357,5,A small shelled creature in the middle of some grassy area
n01787835_13122,1,A shelled animal lies upside down revealing body parts on the sand.
n01787835_13122,2,A crustacean sitting on it's back on a sandy beach.
n01787835_13122,3,A horseshoe crab that hasbeen flipped upside down in the sand.
n01787835_13122,4,A horseshoe crab that is upside down on the sand.
n01787835_13122,5,A horse shoe crab lays upside down in the sand.
n01787835_13550,1,A horseshoe crab with a cracked shell lays on wet sand.
n01787835_13550,2,A small sea creature with a round body sits in some gray sand.
n01787835_13550,3,A horseshoe crab that has washed up onto the shore.
n01787835_13550,4,"A prehistoric fossil fish, likely from the trilobite family, with a large spine protruding from the end, rests on the beach."
n01787835_13550,5,A largre brown horseshoe crab sitting on the sand.
n01787835_9197,1,A horseshoe crab is sitting on the sand.
n01787835_9197,2,"A horseshoe crab lays on a rocky, sandy shore."
n01787835_9197,3,A horseshoe fish that has washed up onto the shore.
n01787835_9197,4,A light brown water creature with a round body sits on a rocky surface.
